Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSuite02_Negative,Chrome 113.0.0.0,,,2023-05-27 20:57:15,2023-05-27 20:57:31,16.138s,PASSED
,,,,,,,
Test Cases/TS_01_Login/TC_02_Login using lockedOutUser Username_Negative,Chrome 113.0.0.0,,,2023-05-27 20:57:15,2023-05-27 20:57:20,4.599s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 20:57:16,2023-05-27 20:57:18,1.947s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 20:57:18,2023-05-27 20:57:18,0.452s,PASSED
"setText(findTestObject(""Object Repository/Login_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 113.0.0.0,,,2023-05-27 20:57:18,2023-05-27 20:57:19,0.707s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_Swag Labs/input_Swag Labs_password""), password)",Chrome 113.0.0.0,,,2023-05-27 20:57:19,2023-05-27 20:57:19,0.395s,PASSED
"click(findTestObject(""Object Repository/Login_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 20:57:19,2023-05-27 20:57:20,0.385s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login_Swag Labs/h3_Epic sadface Sorry, this user has been l_a91fd7""), ""Epic sadface: Sorry, this user has been locked out."")",Chrome 113.0.0.0,,,2023-05-27 20:57:20,2023-05-27 20:57:20,0.434s,PASSED
,,,,,,,
Test Cases/TS_03_Checkout/TC_07_Checkout using problemUser_Negative,Chrome 113.0.0.0,,,2023-05-27 20:57:20,2023-05-27 20:57:31,11.367s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 20:57:20,2023-05-27 20:57:22,1.884s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 20:57:22,2023-05-27 20:57:23,0.405s,PASSED
"setText(findTestObject(""Login_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 113.0.0.0,,,2023-05-27 20:57:23,2023-05-27 20:57:23,0.755s,PASSED
"setEncryptedText(findTestObject(""Login_Swag Labs/input_Swag Labs_password""), password)",Chrome 113.0.0.0,,,2023-05-27 20:57:23,2023-05-27 20:57:24,0.378s,PASSED
"click(findTestObject(""Login_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 20:57:24,2023-05-27 20:57:24,0.396s,PASSED
"click(findTestObject(""Object Repository/Main_Swag Labs/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 20:57:24,2023-05-27 20:57:25,0.450s,PASSED
"click(findTestObject(""Object Repository/Main_Swag Labs/button_Add to cart_1""))",Chrome 113.0.0.0,,,2023-05-27 20:57:25,2023-05-27 20:57:25,0.542s,PASSED
"click(findTestObject(""Object Repository/Main_Swag Labs/button_Add to cart_1_2""))",Chrome 113.0.0.0,,,2023-05-27 20:57:25,2023-05-27 20:57:26,0.545s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart_1_2_3""))",Chrome 113.0.0.0,,,2023-05-27 20:57:26,2023-05-27 20:57:26,0.327s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart_1_2_3_4""))",Chrome 113.0.0.0,,,2023-05-27 20:57:26,2023-05-27 20:57:26,0.328s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart_1_2_3_4_5""))",Chrome 113.0.0.0,,,2023-05-27 20:57:26,2023-05-27 20:57:27,0.543s,PASSED
"click(findTestObject(""Main_Swag Labs/icon_shoppingCart""))",Chrome 113.0.0.0,,,2023-05-27 20:57:27,2023-05-27 20:57:27,0.343s,PASSED
"click(findTestObject(""Object Repository/Main_Swag Labs/button_Checkout""))",Chrome 113.0.0.0,,,2023-05-27 20:57:27,2023-05-27 20:57:28,0.561s,PASSED
"setText(findTestObject(""Checkout_Swag Labs/input_Checkout Your Information_firstName""), firstName)",Chrome 113.0.0.0,,,2023-05-27 20:57:28,2023-05-27 20:57:29,0.875s,PASSED
"setText(findTestObject(""Checkout_Swag Labs/input_Checkout Your Information_lastName""), lastName)",Chrome 113.0.0.0,,,2023-05-27 20:57:29,2023-05-27 20:57:30,0.920s,PASSED
"setText(findTestObject(""Checkout_Swag Labs/input_Checkout Your Information_postalCode""), postalCode)",Chrome 113.0.0.0,,,2023-05-27 20:57:30,2023-05-27 20:57:30,0.842s,PASSED
"click(findTestObject(""Checkout_Swag Labs/input_Cancel_continue""))",Chrome 113.0.0.0,,,2023-05-27 20:57:30,2023-05-27 20:57:31,0.541s,PASSED
"verifyElementText(findTestObject(""Checkout_Swag Labs/h3_Error Last Name is required""), ""Error: Last Name is required"")",Chrome 113.0.0.0,,,2023-05-27 20:57:31,2023-05-27 20:57:31,0.522s,PASSED
